Description,Last seen,Usage,"Device type, OS",IPv4 address,Policy
"00:50:56:ad:4c:d1","Jan 14 14:38","285.2 MB","Other","172.26.84.111","normal"
"00:50:56:ad:11:ed","Jan 14 14:38","269.7 MB","Other","172.26.84.151","normal"
"ITRSRV-JUMP01","Jan 14 14:38","268.3 MB","Other","172.26.86.12","normal"
"96:99:c6:02:95:ca","Jan 14 14:36","258.4 MB","iPhone 13 Pro, iOS15.1.1","10.233.126.150","normal"
"KPCSRV-NPS02","Jan 14 14:38","253.0 MB","Other","172.26.84.104","normal"
"KPCSRV-LIC01","Jan 14 14:38","247.4 MB","Other","192.168.136.130","normal"
"iPhone-F17CR0N0PLJQ","Jan 14 14:37","240.8 MB","iPhone SE 2, iOS15.2","10.139.202.126","normal"
"KPCSRV-NAV03","Jan 14 14:38","223.4 MB","Other","192.168.136.113","normal"
"KPC2000","Jan 14 14:38","212.5 MB","Other","192.168.140.121","normal"
"KPC-j0AcGqfC5aF","Jan 14 14:32","202.5 MB","Windows 10","192.168.140.202","custom"
"iPhone-DX4FPJ50N735","Jan 14 11:46","196.9 MB","iPhone 11, iOS15.2","10.47.98.224","normal"
"Louise--iPhone","Jan 14 14:37","196.2 MB","iPhone 8, iOS14.6","10.254.124.243","normal"
"KPC2000","Jan 14 12:55","190.5 MB","Windows 10","192.168.140.164","custom"
"de:71:a1:02:31:7b","Jan 14 14:26","186.0 MB","iPhone SE 2, iOS15.0.1","10.114.114.190","normal"
"KPC2006","Jan 14 12:13","157.4 MB","Windows 10","192.168.140.104","custom"
"KPC1437","Jan 14 14:30","140.9 MB","Other","192.168.140.130","custom"
"00:bb:c1:cb:39:61","Jan 14 14:38","127.7 MB","Other","192.168.140.81","normal"
"Steffen--iPhone","Jan 14 14:38","115.3 MB","Apple iPhone","10.229.105.164","normal"
"KPC1583","Jan 14 08:52","112.6 MB","Other","192.168.140.170","normal"
"iPad-DMPCK455MDFX-BW","Jan 14 14:38","103.2 MB","iPad, iOS14.6","10.219.249.91","normal"
"00:bb:c1:cb:49:68","Jan 14 14:38","89.2 MB","Other","192.168.140.80","normal"
"KPC1575-2","Jan 13 16:37","61.7 MB","Other","192.168.140.186","normal"
"iPhone-DX3FVAAVPLJQ","Jan 14 14:38","49.8 MB","iPhone SE 2, iOS15.1","10.229.10.170","normal"
"iPhone-FFNZLTWGJC67","Jan 14 14:38","47.9 MB","iPhone 8, iOS15.2","10.119.4.109","normal"
"KPC2022","Jan 14 14:38","46.2 MB","Other","192.168.140.172","normal"
"KPCSRV-CERT02","Jan 14 14:36","45.9 MB","Other","172.26.87.12","normal"
"Clauss-iPhone","Jan 14 14:37","33.8 MB","iPhone 7, iOS15.1","10.5.127.246","normal"
"iPhone-F18D38NGPLJQ","Jan 14 14:37","32.1 MB","iPhone SE 2, iOS15.2","10.189.23.128","normal"
"KPC1389","Jan 14 09:54","31.6 MB","Other","192.168.140.187","normal"
"KPC1493","Jan 14 06:54","29.7 MB","Other","192.168.140.197","custom"
"88:90:8d:ee:33:09","Jan 14 14:38","27.9 MB","Other","192.168.111.147","normal"
"KPC-FRBD5OQBYuC","Jan 14 14:38","24.5 MB","Other","192.168.140.114","custom"
"DESKTOP-AE5PJHK","Jan 14 14:36","23.6 MB","Other","192.168.111.147","normal"
"KPC1517","Jan 14 12:59","20.6 MB","Windows 10","192.168.140.115","custom"
"Janes-iPhone","Jan 14 14:37","16.5 MB","Apple iPhone","10.124.119.130","normal"
"4e:3d:9c:23:50:80","Jan 14 14:38","16.4 MB","iPhone SE 2, iOS15.2","10.98.177.210","normal"
"KPC-maESonVuMEV","Jan 14 14:38","16.4 MB","Other","192.168.111.103","normal"
"iPhone-F17DTYNBPLJQ","Jan 13 15:58","13.0 MB","iPhone SE 2, iOS15.2","10.203.185.191","normal"
"1164100e-eeef-4926-8053-6912730ff578","Jan 14 11:28","12.9 MB","iPhone SE 2, iOS15.2","10.182.26.239","normal"
"KPC2009","Jan 14 08:32","12.6 MB","Windows 10","192.168.140.165","custom"
"iPhone-FFPZLRS5JC67","Jan 14 14:38","9.9 MB","iPhone 8, iOS15.2","10.193.114.175","normal"
"iPhone-F17CNUQCPLJQ","Jan 14 14:38","7.9 MB","iPhone SE 2, iOS13.6.1","10.105.146.183","normal"
"76:06:65:9a:a9:c2","Jan 14 14:38","7.1 MB","iPad Air, iOS15.0.1","10.94.254.176","normal"
"88:90:8d:ee:33:41","Jan 14 14:38","7.0 MB","Other","192.168.110.55","normal"
"KPC-SrD4zzTaZMy","Jan 13 15:55","6.3 MB","Windows 10","192.168.140.193","custom"
"iPhone-FFWDD90FPLJQ","Jan 13 16:38","5.7 MB","iPhone SE 2, iOS15.1","10.219.35.235","normal"
"KPC1215","Jan 13 16:41","5.4 MB","Other","192.168.140.152","normal"
"iPhone-DX3FVAFLPLJQ","Jan 14 14:38","3.7 MB","iPhone SE 2, iOS14.6","10.113.93.17","normal"
"DESKTOP-NVE28JJ","Jan 14 14:38","3.1 MB","Other","192.168.111.152","normal"
"cw500","Jan 14 14:38","2.9 MB","Windows 8","192.168.140.75","normal"
"KPC1424","Jan 14 00:24","2.8 MB","Windows 10","192.168.140.188","custom"
"3a:93:1a:99:81:b8","Jan 14 08:58","2.4 MB","iPhone 8, iOS15.1","10.190.137.54","normal"
"HER-5-Ricoh-C4504","Jan 14 14:37","2.3 MB","Other","192.168.140.83","normal"
"834711d306e80145762eb83d61e1692b","Jan 14 13:31","2.2 MB","Chrome OS","10.20.161.211","normal"
"KPCSRV-TAPE01","Jan 14 14:38","2.0 MB","Other","169.254.198.80","normal"
"KPC-2Bat5vHojda","Jan 13 15:30","1.4 MB","Windows 10","192.168.140.185","custom"
"iPad","Jan 14 14:19","1.3 MB","Apple iPhone","10.167.35.95","normal"
"00:23:c1:1e:26:5d","Jan 14 14:38","963 KB","Eye-Fi Wireless Memory Card","192.168.136.200","normal"
"KPC1451","Jan 14 14:14","789 KB","Windows 7","192.168.140.103","custom"
"KPC1575","Jan 13 16:40","782 KB","Windows 10","192.168.140.119","custom"
